T.currentTimePoint	profit	revenueParcel	revenuePeople	cost	totalTravelDistance	discount	nbParcelComplete	nbPeopleComplete	nbParcelServed	nbPeopleServed	nbParcelOnBoard	nbPeopleOnBoard	nbParcelWaitBoarding	nbPeopleWaitBoarding	nbParcelRejects	nbPeopleRejects	nbParcelRequestsProcessed	nbPeopleRequestsProcessed	#running taxis	maxTravelDistanceOneTaxi	maxRequestServedOneTaxi	maxDecideTimePeopleRequests	maxDecideTimeParcelRequests	maxTimeOnePeopleInsertion	maxTimeOneParcelInsertion	maxTimeCollectAvailableTaxisPeopleInsertion	maxTimeFindTaxiParcelInsertion
21630	-0.31	0	0	0.31	0.39	0	0	0	0	0	0	0	1	1	0	0	1	1	1	0.39	0	0.2	2.39	0.11	0.08	0.09	2.3
21660	-1.9	0	0	1.9	2.37	0	0	0	0	0	0	0	3	4	0	0	3	4	3	1.19	0	0.39	2.92	0.32	0.08	0.18	2.91
21690	-5.24	0	0	5.24	6.55	0	0	0	1	0	1	0	5	5	0	0	5	5	7	1.87	0	0.39	3.04	0.32	0.08	0.18	3.04
21720	-9.06	0	0	9.06	11.33	0	0	0	1	1	1	1	7	8	0	0	7	8	8	2.45	0	0.39	5.72	0.32	0.1	0.18	3.04
21750	-14.12	0	0	14.12	17.65	0	0	0	2	1	2	1	9	10	0	0	9	10	12	2.84	0	1.07	5.72	0.94	0.16	0.18	3.08
21780	-16.57	3.56	0	20.13	25.16	0	1	0	5	1	4	1	11	12	0	0	11	12	14	3.16	1	1.07	5.72	0.94	0.16	0.18	3.08
21810	-23.33	3.56	0	26.89	33.62	0	1	0	6	1	5	1	13	13	0	0	13	13	17	3.74	1	1.07	6.24	0.94	0.16	0.18	3.1
21840	-29.44	3.56	0	32.99	41.24	0	1	0	9	3	8	3	14	15	0	0	14	15	17	4.23	1	1.21	6.24	1.12	0.16	0.18	3.11
21870	-38.68	3.56	0	42.24	52.8	0	1	0	10	4	9	4	17	18	0	0	17	18	22	4.99	1	1.21	6.24	1.12	0.16	0.18	3.15
21900	-45.06	7.26	0	52.32	65.4	0	2	0	11	5	9	5	20	21	0	0	20	21	23	5.61	1	1.21	6.34	1.12	0.16	0.18	3.15
21930	-45.7	15.67	0	61.38	76.72	0	4	0	14	5	10	5	21	21	0	0	21	21	24	6.12	1	1.21	6.34	1.12	0.16	0.18	3.15
21960	-37.99	19.5	14	71.5	89.37	0	5	1	14	5	9	4	24	24	0	0	24	24	24	6.64	1	1.21	6.34	1.12	0.16	0.18	3.15
21990	-42.87	25.37	14	82.23	102.79	0	6	1	17	6	11	5	26	27	0	0	26	27	28	7.05	1	1.21	6.34	1.12	0.16	0.18	3.15
22020	-8.82	36.05	46.87	91.74	114.68	0	8	4	20	6	12	2	28	29	0	0	28	29	30	7.35	1	1.21	6.34	1.12	0.19	0.18	3.15
22050	-3.63	40.02	59.19	102.85	128.56	0	9	5	20	7	11	2	31	31	0	0	31	31	31	7.47	1	1.21	6.34	1.12	0.35	0.18	3.15
22080	-7.82	40.02	65.98	113.82	142.28	0	9	6	22	11	13	5	34	34	0	0	34	34	31	8.16	1	1.21	9.26	1.12	0.35	0.18	3.15
22110	-13.88	46.73	65.98	126.59	158.24	0	11	6	23	12	12	6	37	38	0	0	37	38	34	8.82	1	1.21	9.26	1.12	0.35	0.18	3.15
22140	-24.77	50.65	65.98	141.4	176.75	0	12	6	26	14	14	8	40	41	0	0	40	41	38	9.18	1	1.21	9.55	1.12	0.35	0.18	3.19
22170	-14.51	60.35	79.93	154.79	193.49	0	14	8	28	17	14	9	42	43	0	0	42	43	40	9.22	2	1.21	9.55	1.12	0.35	0.18	3.19
22200	-27.21	63.95	79.93	171.1	213.87	0	15	8	30	18	15	10	43	44	0	0	43	44	41	9.95	2	1.54	9.55	1.12	0.35	1.32	3.19
