T.currentTimePoint	profit	revenueParcel	revenuePeople	cost	totalTravelDistance	discount	nbParcelComplete	nbPeopleComplete	nbParcelServed	nbPeopleServed	nbParcelOnBoard	nbPeopleOnBoard	nbParcelWaitBoarding	nbPeopleWaitBoarding	nbParcelRejects	nbPeopleRejects	nbParcelRequestsProcessed	nbPeopleRequestsProcessed	#running taxis	maxTravelDistanceOneTaxi	maxRequestServedOneTaxi	maxDecideTimePeopleRequests	maxDecideTimeParcelRequests	maxTimeOnePeopleInsertion	maxTimeOneParcelInsertion	maxTimeCollectAvailableTaxisPeopleInsertion	maxTimeFindTaxiParcelInsertion
21630	-0.86	0	0	0.86	1.08	0	0	0	0	0	0	0	3	2	0	0	3	2	3	0.39	0	0.1	5.91	0.04	0.09	0.04	3.09
21660	-4.74	0	0	4.74	5.93	0	0	0	1	0	1	0	8	8	0	0	8	8	11	1.28	0	0.4	11.55	0.13	0.09	0.12	3.09
21690	-10.48	0	0	10.48	13.1	0	0	0	6	0	6	0	11	10	0	0	11	10	13	2	0	0.4	11.55	0.13	0.09	0.12	3.09
21720	-18	0	0	18	22.5	0	0	0	9	0	9	0	14	13	0	0	14	13	18	2.69	0	0.4	11.55	0.13	0.09	0.14	3.16
21750	-24.31	3.26	0	27.58	34.47	0	1	0	11	0	10	0	17	16	0	0	17	16	22	3.32	1	0.4	11.55	0.13	0.09	0.14	3.16
21780	-28.67	10.57	0	39.23	49.04	0	3	0	13	0	10	0	19	18	0	0	19	18	26	3.85	1	0.4	11.55	0.13	0.09	0.14	3.16
21810	-40.84	10.57	0	51.41	64.26	0	3	0	15	0	12	0	21	20	0	0	21	20	29	4.43	1	0.4	11.55	0.13	0.09	0.16	3.16
21840	-52.3	14.95	0	67.25	84.06	0	4	0	16	0	12	0	25	24	0	0	25	24	33	5.03	1	0.4	11.55	0.13	0.09	0.16	3.16
21870	-63.57	18.18	0	81.76	102.19	0	5	0	19	0	14	0	27	27	0	0	27	27	36	5.47	1	0.4	11.55	0.13	0.09	0.16	3.16
21900	-71.06	26.86	0	97.92	122.4	0	7	0	23	1	16	1	30	29	0	0	30	29	39	6.03	1	0.4	11.55	0.13	0.09	0.16	3.16
