T.currentTimePoint	profit	revenueParcel	revenuePeople	cost	totalTravelDistance	discount	nbParcelComplete	nbPeopleComplete	nbParcelServed	nbPeopleServed	nbParcelOnBoard	nbPeopleOnBoard	nbParcelWaitBoarding	nbPeopleWaitBoarding	nbParcelRejects	nbPeopleRejects	nbParcelRequestsProcessed	nbPeopleRequestsProcessed	#running taxis	maxTravelDistanceOneTaxi	maxRequestServedOneTaxi	maxDecideTimePeopleRequests	maxDecideTimeParcelRequests	maxTimeOnePeopleInsertion	maxTimeOneParcelInsertion	maxTimeCollectAvailableTaxisPeopleInsertion	maxTimeFindTaxiParcelInsertion
21630	0	0	0	0	0	0	0	0	0	0	0	0	2	2	0	0	2	2	0	0	0	0.18	6	0.07	0.19	0.04	3.08
21660	-2.27	0	0	2.27	2.83	0	0	0	1	0	1	0	5	4	0	0	5	4	6	0.75	0	0.18	6	0.07	0.19	0.04	3.08
21690	-6.2	0	0	6.2	7.75	0	0	0	2	0	2	0	5	5	0	0	5	5	7	1.66	0	0.18	6	0.07	0.19	0.04	3.08
21720	-9.78	0	0	9.78	12.23	0	0	0	3	0	3	0	8	8	0	0	8	8	8	2.38	0	0.5	9.32	0.15	0.19	0.11	3.17
21750	-13.28	3.64	0	16.92	21.15	0	1	0	5	0	4	0	12	12	0	0	12	12	17	3.05	1	0.5	9.32	0.15	0.19	0.11	3.17
21780	-23.23	3.64	0	26.87	33.59	0	1	0	5	0	4	0	16	16	0	0	16	16	20	3.57	1	0.5	9.32	0.15	0.19	0.11	3.17
21810	-36.82	3.64	0	40.46	50.57	0	1	0	6	0	5	0	19	19	0	0	19	19	26	4.16	1	0.5	9.32	0.15	0.19	0.11	3.17
21840	-49.78	3.64	0	53.42	66.78	0	1	0	11	0	10	0	23	22	0	0	23	22	31	4.76	1	0.5	9.32	0.19	0.36	0.11	3.17
21870	-63.93	3.64	0	67.57	84.46	0	1	0	13	0	12	0	25	25	0	0	25	25	35	5.32	1	0.5	9.32	0.19	0.36	0.11	3.17
21900	-70.26	11.54	0	81.8	102.25	0	3	0	18	1	15	1	29	28	0	0	29	28	37	5.71	1	0.5	9.32	0.19	0.36	0.12	3.17
21930	-80.25	18.43	0	98.67	123.34	0	5	0	19	1	14	1	34	34	0	0	34	34	44	6.14	1	0.57	12.59	0.19	0.36	0.12	3.18
21960	-90.97	27.07	0	118.04	147.55	0	7	0	23	2	16	2	37	36	0	0	37	36	45	6.49	1	0.57	12.59	0.19	0.36	0.12	3.18
