T.currentTimePoint	profit	revenueParcel	revenuePeople	cost	totalTravelDistance	discount	nbParcelComplete	nbPeopleComplete	nbParcelServed	nbPeopleServed	nbParcelOnBoard	nbPeopleOnBoard	nbParcelWaitBoarding	nbPeopleWaitBoarding	nbParcelRejects	nbPeopleRejects	nbParcelRequestsProcessed	nbPeopleRequestsProcessed	#running taxis	maxTravelDistanceOneTaxi	maxRequestServedOneTaxi	maxDecideTimePeopleRequests	maxDecideTimeParcelRequests	maxTimeOnePeopleInsertion	maxTimeOneParcelInsertion	maxTimeCollectAvailableTaxisPeopleInsertion	maxTimeFindTaxiParcelInsertion
21630	-0.31	0	0	0.31	0.39	0	0	0	0	0	0	0	1	1	0	0	1	1	1	0.39	0	0.21	2.41	0.11	0.09	0.1	2.32
21660	-1.94	0	0	1.94	2.43	0	0	0	0	0	0	0	3	4	0	0	3	4	3	1.28	0	0.29	2.96	0.11	0.09	0.16	2.95
21690	-5.34	0	0	5.34	6.67	0	0	0	1	0	1	0	5	5	0	0	5	5	7	2.04	0	0.29	3.12	0.11	0.09	0.16	3.11
21720	-9.14	0	0	9.14	11.42	0	0	0	2	0	2	0	7	8	0	0	7	8	8	2.74	0	0.29	5.88	0.11	0.1	0.16	3.13
21750	-13.89	0	0	13.89	17.36	0	0	0	4	0	4	0	9	10	0	0	9	10	12	3.41	0	0.34	5.88	0.14	0.16	0.16	3.13
21780	-18	3.56	0	21.55	26.94	0	1	0	6	0	5	0	11	12	0	0	11	12	16	3.97	1	0.34	5.88	0.14	0.16	0.16	3.17
21810	-27.14	3.56	0	30.7	38.37	0	1	0	7	0	6	0	13	13	0	0	13	13	20	4.55	1	0.34	6.07	0.14	0.16	0.16	3.17
21840	-36.13	3.56	0	39.69	49.61	0	1	0	10	0	9	0	14	15	0	0	14	15	20	5.18	1	0.48	6.07	0.21	0.16	0.16	3.17
21870	-46.17	3.56	0	49.72	62.15	0	1	0	12	1	11	1	17	18	0	0	17	18	25	5.66	1	0.48	6.29	0.21	0.16	0.18	3.17
21900	-48.64	12.08	0	60.73	75.91	0	3	0	12	1	9	1	20	21	0	0	20	21	26	6.22	1	0.68	6.42	0.21	0.16	0.18	3.17
21930	-52.19	20.49	0	72.68	90.86	0	5	0	15	1	10	1	21	21	0	0	21	21	28	6.6	1	0.68	6.42	0.21	0.16	0.18	3.17
21960	-60.81	24.33	0	85.14	106.42	0	6	0	15	1	9	1	24	24	0	0	24	24	29	6.96	1	0.68	6.42	0.21	0.16	0.18	3.25
21990	-61.77	36.5	0	98.27	122.83	0	8	0	18	2	10	2	26	27	0	0	26	27	32	7.17	1	0.68	6.42	0.21	0.16	0.18	3.25
22020	-69.47	40.87	0	110.34	137.92	0	9	0	20	2	11	2	28	29	0	0	28	29	34	7.4	1	0.68	6.42	0.21	0.18	0.19	3.25
22050	-73.77	50.2	0	123.97	154.96	0	11	0	21	4	10	4	31	31	0	0	31	31	35	8.13	1	0.68	6.42	0.21	0.35	0.19	3.25
22080	-88.9	50.2	0	139.1	173.88	0	11	0	23	6	12	6	34	34	0	0	34	34	36	8.86	1	0.68	9.64	0.21	0.35	0.19	3.25
22110	-86.87	53.56	14	154.43	193.04	0	12	1	24	8	12	7	37	38	0	0	37	38	40	9.4	1	0.68	9.64	0.21	0.35	0.19	3.25
22140	-96.84	60.82	14	171.66	214.57	0	14	1	26	9	12	8	40	41	0	0	40	41	43	9.91	2	0.8	9.64	0.54	0.35	0.19	3.25
22170	-100.34	73.94	14	188.29	235.36	0	17	1	31	9	14	8	42	43	0	0	42	43	46	10.34	2	0.8	9.64	0.54	0.35	0.19	3.28
22200	-83.52	86.35	36.74	206.61	258.26	0	19	3	32	9	13	6	43	44	0	0	43	44	46	10.49	2	1.96	9.64	0.54	0.35	1.74	3.28
22230	-91.59	86.35	46.07	224	280	0	19	4	35	11	16	7	44	45	0	0	44	45	47	10.91	2	1.96	9.64	0.54	0.35	1.74	3.28
22260	-91.96	93.66	55.08	240.7	300.88	0	21	5	37	12	16	7	47	47	0	0	47	47	48	11.63	2	1.96	9.64	0.54	0.35	1.74	3.28
22290	-77.36	93.66	85.82	256.85	321.06	0	21	8	41	14	20	6	48	49	0	0	48	49	48	12.33	2	1.96	9.64	0.54	0.35	1.74	3.28
22320	-95.63	93.66	85.82	275.11	343.89	0	21	8	42	15	21	7	51	52	0	0	51	52	48	13	2	1.96	9.64	0.54	0.35	1.74	3.28
22350	-94.52	113.04	85.82	293.38	366.72	0	24	8	45	17	21	9	56	56	0	0	56	56	51	13.5	2	1.96	9.64	0.54	0.35	1.74	3.48
22380	-80.45	129.4	102.92	312.77	390.97	0	27	10	46	20	19	10	58	58	0	0	58	58	54	14.08	2	1.96	9.64	0.54	0.35	1.74	3.62
22410	-97.73	133.16	102.92	333.81	417.26	0	28	10	48	21	20	11	61	62	0	0	61	62	56	14.49	3	1.96	9.64	0.54	0.47	1.74	3.62
22440	-88.31	136.72	130.59	355.61	444.51	0	29	13	53	25	24	12	63	64	0	0	63	64	60	14.92	3	1.96	9.64	0.54	0.47	1.74	3.62
22470	-93.48	153.43	130.59	377.49	471.86	0	32	13	55	27	23	14	65	66	0	0	65	66	60	15.03	3	1.96	9.64	0.54	0.47	1.74	3.62
22500	-74.32	170.21	154.95	399.48	499.35	0	34	16	58	28	24	12	67	68	0	0	67	68	62	15.62	3	1.96	9.64	0.54	0.47	1.74	3.62
22530	-73.19	183.46	165.99	422.64	528.3	0	37	17	58	29	21	12	70	71	0	0	70	71	63	16.41	3	1.96	9.64	0.54	0.47	1.74	3.62
22560	-40.66	203.78	202.42	446.85	558.57	0	41	21	60	30	19	9	72	72	0	0	72	72	66	17.17	4	1.96	9.64	0.54	0.47	1.74	3.62
22590	-51.77	215.04	202.42	469.23	586.54	0	43	21	64	31	21	10	77	78	0	0	77	78	67	17.93	5	1.96	9.64	0.54	0.47	1.74	3.62
22620	-3.1	237.85	251.5	492.44	615.55	0	46	24	67	32	21	8	80	80	0	0	80	80	68	18.51	5	1.96	9.64	0.54	0.47	1.74	3.62
22650	13.25	237.85	290.4	514.99	643.74	0	46	27	69	37	23	10	81	82	0	0	81	82	68	19.07	5	1.96	9.64	0.54	0.47	1.74	3.62
22680	-1.42	245.61	290.4	537.43	671.79	0	48	27	72	39	24	12	83	83	0	0	83	83	69	19.57	5	1.96	9.64	0.54	0.47	1.74	3.62
22710	-4.03	259.65	297.01	560.69	700.86	0	51	28	73	43	22	15	84	84	0	0	84	84	70	20.05	6	1.96	9.64	0.54	0.47	1.74	3.62
22740	-8.45	276.33	297.01	581.79	727.24	0	55	28	74	47	19	19	86	87	0	0	86	87	70	20.53	6	1.96	9.64	0.54	0.47	1.74	3.62
22770	2.41	287.57	318.09	603.25	754.06	0	57	30	76	49	19	19	88	89	0	0	88	89	72	20.9	6	1.96	9.64	0.92	0.47	1.74	3.62
22800	13.66	301.56	338.06	625.96	782.45	0	59	31	80	50	21	19	92	92	0	0	92	92	72	21.5	6	1.96	9.64	0.92	0.47	1.74	3.62
22830	66.59	325.01	388.71	647.13	808.91	0	63	36	82	53	19	17	96	97	0	0	96	97	74	22.12	6	1.96	9.64	0.92	0.47	1.74	3.62
22860	56.93	331.59	396.99	671.66	839.58	0	65	37	85	53	20	16	98	98	0	0	98	98	76	22.67	6	1.96	9.64	0.92	0.47	1.74	3.62
