T.currentTimePoint	profit	revenueParcel	revenuePeople	cost	totalTravelDistance	discount	nbParcelComplete	nbPeopleComplete	nbParcelServed	nbPeopleServed	nbParcelOnBoard	nbPeopleOnBoard	nbParcelWaitBoarding	nbPeopleWaitBoarding	nbParcelRejects	nbPeopleRejects	nbParcelRequestsProcessed	nbPeopleRequestsProcessed	#running taxis	maxTravelDistanceOneTaxi	maxRequestServedOneTaxi	maxDecideTimePeopleRequests	maxDecideTimeParcelRequests	maxTimeOnePeopleInsertion	maxTimeOneParcelInsertion	maxTimeCollectAvailableTaxisPeopleInsertion	maxTimeFindTaxiParcelInsertion
21630	-0.31	0	0	0.31	0.39	0	0	0	0	0	0	0	1	1	0	0	1	1	1	0.39	0	0.21	2.46	0.11	0.05	0.1	2.41
21660	-1.94	0	0	1.94	2.43	0	0	0	0	0	0	0	3	4	0	0	3	4	3	1.28	0	0.3	2.99	0.11	0.05	0.17	2.99
21690	-5.34	0	0	5.34	6.67	0	0	0	1	0	1	0	5	5	0	0	5	5	7	2.04	0	0.3	3.01	0.11	0.05	0.17	3
21720	-9.14	0	0	9.14	11.42	0	0	0	2	0	2	0	7	8	0	0	7	8	8	2.74	0	0.3	5.77	0.11	0.06	0.17	3.01
21750	-13.89	0	0	13.89	17.36	0	0	0	4	0	4	0	9	10	0	0	9	10	12	3.41	0	0.33	5.77	0.14	0.14	0.17	3.06
21780	-18	3.56	0	21.55	26.94	0	1	0	6	0	5	0	11	12	0	0	11	12	16	3.97	1	0.33	5.77	0.14	0.14	0.17	3.23
21810	-27.15	3.56	0	30.71	38.39	0	1	0	7	0	6	0	13	13	0	0	13	13	20	4.55	1	0.33	6.14	0.14	0.14	0.17	3.23
21840	-36.35	3.56	0	39.9	49.88	0	1	0	9	0	8	0	14	15	0	0	14	15	20	5.18	1	0.49	6.14	0.22	0.14	0.17	3.23
21870	-46.35	3.56	0	49.9	62.38	0	1	0	12	1	11	1	17	18	0	0	17	18	25	5.66	1	0.49	6.39	0.22	0.14	0.18	3.23
21900	-48	12.08	0	60.09	75.11	0	3	0	13	1	10	1	20	21	0	0	20	21	26	6.22	1	0.71	6.39	0.22	0.14	0.19	3.23
21930	-51.64	20.49	0	72.13	90.17	0	5	0	15	1	10	1	21	21	0	0	21	21	28	6.6	1	0.71	6.39	0.22	0.14	0.19	3.23
21960	-60.75	24.33	0	85.08	106.34	0	6	0	15	1	9	1	24	24	0	0	24	24	29	6.96	1	0.71	6.39	0.22	0.14	0.19	3.23
21990	-62.31	36.5	0	98.8	123.5	0	8	0	17	2	9	2	26	27	0	0	26	27	33	7.17	1	0.71	6.39	0.22	0.14	0.19	3.23
22020	-69.94	40.87	0	110.81	138.51	0	9	0	19	2	10	2	28	29	0	0	28	29	35	7.4	1	0.71	6.39	0.22	0.14	0.19	3.23
22050	-75.82	49.64	0	125.45	156.82	0	11	0	19	4	8	4	31	31	0	0	31	31	38	8.13	1	0.71	6.39	0.22	0.14	0.19	3.23
22080	-85.06	54.99	0	140.05	175.06	0	12	0	22	6	10	6	34	34	0	0	34	34	39	8.86	1	0.71	9.15	0.22	0.14	0.19	3.23
22110	-83.64	58.35	14	155.98	194.98	0	13	1	22	8	9	7	37	38	0	0	37	38	42	9.4	1	0.71	9.15	0.22	0.14	0.19	3.23
22140	-98.36	62.26	14	174.62	218.28	0	14	1	27	9	13	8	40	41	0	0	40	41	46	9.91	1	0.71	9.45	0.22	0.14	0.19	3.23
22170	-103.42	75.38	14	192.8	241	0	17	1	31	9	14	8	42	43	0	0	42	43	49	10.34	2	0.71	9.45	0.22	0.14	0.19	3.23
22200	-87.96	87.78	36.74	212.49	265.61	0	19	3	32	9	13	6	43	44	0	0	43	44	50	10.49	2	1.69	9.45	0.22	0.14	1.51	3.23
22230	-98.71	87.78	46.07	232.56	290.7	0	19	4	33	11	14	7	44	45	0	0	44	45	51	10.91	2	1.69	9.45	0.22	0.14	1.51	3.23
22260	-96.87	98.37	55.08	250.33	312.91	0	22	5	36	12	14	7	47	47	0	0	47	47	52	11.63	2	1.69	9.45	0.22	0.14	1.51	3.23
22290	-79.4	102.37	85.82	267.59	334.48	0	23	8	39	14	16	6	48	49	0	0	48	49	52	12.33	2	1.69	9.45	0.22	0.14	1.51	3.23
