T.currentTimePoint	profit	revenueParcel	revenuePeople	cost	totalTravelDistance	discount	nbParcelComplete	nbPeopleComplete	nbParcelServed	nbPeopleServed	nbParcelOnBoard	nbPeopleOnBoard	nbParcelWaitBoarding	nbPeopleWaitBoarding	nbParcelRejects	nbPeopleRejects	nbParcelRequestsProcessed	nbPeopleRequestsProcessed	#running taxis	maxTravelDistanceOneTaxi	maxRequestServedOneTaxi	maxDecideTimePeopleRequests	maxDecideTimeParcelRequests	maxTimeOnePeopleInsertion	maxTimeOneParcelInsertion	maxTimeCollectAvailableTaxisPeopleInsertion	maxTimeFindTaxiParcelInsertion
21630	-1.17	0	0	1.17	1.46	0	0	0	0	0	0	0	6	5	0	0	6	5	4	0.39	0	0.2	9.54	0.06	0.41	0.04	3.17
21660	-6.53	0	0	6.53	8.16	0	0	0	1	0	1	0	10	10	0	0	10	10	11	1.26	0	0.2	9.54	0.06	0.41	0.04	3.2
21690	-12.74	0	0	12.74	15.92	0	0	0	3	1	3	1	14	13	0	0	14	13	14	2.01	0	0.35	9.54	0.15	0.41	0.08	3.2
21720	-19.55	0	0	19.55	24.44	0	0	0	3	2	3	2	18	17	0	0	18	17	15	2.67	0	0.6	9.54	0.41	0.41	0.08	3.21
21750	-24.97	3.31	0	28.28	35.35	0	1	0	5	4	4	4	19	18	0	0	19	18	19	3.28	1	0.6	9.54	0.41	0.41	0.08	3.21
21780	-34.29	3.31	0	37.6	47	0	1	0	5	4	4	4	20	20	0	0	20	20	21	3.81	1	0.6	9.54	0.41	0.41	0.08	3.21
21810	-39.82	6.98	0	46.8	58.5	0	2	0	6	5	4	5	24	24	0	0	24	24	21	4.44	1	0.64	9.54	0.43	0.41	0.08	3.21
21840	-51.44	6.98	0	58.42	73.02	0	2	0	6	8	4	8	32	31	0	0	32	31	29	5.18	1	0.64	16.09	0.43	0.41	0.08	3.21
21870	-50.76	11.9	8.03	70.69	88.37	0	3	1	8	9	5	8	35	34	0	0	35	34	32	5.57	1	0.64	16.09	0.43	0.41	0.13	3.21
21900	-21.53	11.9	48.41	81.84	102.3	0	3	5	15	9	12	4	39	39	0	0	39	39	34	5.97	1	0.66	16.09	0.43	0.41	0.16	3.21
21930	-28.81	11.9	55.25	95.96	119.95	0	3	6	18	10	15	4	42	42	0	0	42	42	35	6.58	1	0.66	16.09	0.43	0.41	0.23	3.21
21960	-21.67	15.41	72.98	110.06	137.58	0	4	8	22	13	18	5	45	45	0	0	45	45	37	7.2	1	0.76	16.09	0.49	0.41	0.23	3.21
21990	-31.4	19.28	72.98	123.66	154.57	0	5	8	24	14	19	6	46	46	0	0	46	46	38	7.78	1	0.76	16.09	0.49	0.41	0.23	3.21
22020	-39.22	26.35	72.98	138.55	173.19	0	6	8	27	16	21	8	48	48	0	0	48	48	39	8.49	1	0.76	16.09	0.49	0.41	0.23	3.21
22050	-45.48	38.78	72.98	157.24	196.55	0	9	8	27	17	18	9	54	54	0	0	54	54	45	9.31	1	0.76	16.09	0.49	0.41	0.23	3.21
22080	-58.8	42.47	72.98	174.25	217.82	0	10	8	31	18	21	10	55	55	0	0	55	55	45	10.08	1	0.76	16.09	0.49	0.41	0.23	3.21
22110	-29.3	54.29	107.01	190.6	238.25	0	13	11	32	19	19	8	57	57	0	0	57	57	46	10.76	2	0.76	16.09	0.49	0.41	0.23	3.21
22140	-11.6	62.53	130.65	204.78	255.98	0	15	13	36	22	21	9	63	62	0	0	63	62	46	11.59	2	0.87	16.17	0.49	0.41	0.23	3.21
22170	-16.48	67.03	138.95	222.45	278.06	0	16	14	42	24	26	10	66	66	0	0	66	66	52	12.4	2	0.87	16.17	0.49	0.41	0.23	3.21
22200	-17.5	67.03	158.07	242.6	303.25	0	16	16	46	27	30	11	71	71	0	0	71	71	56	13.12	2	0.87	16.17	0.49	0.41	0.23	3.21
22230	-21.02	78.26	164.82	264.1	330.13	0	19	17	48	32	29	15	74	73	0	0	74	73	57	13.92	2	0.87	16.17	0.49	0.41	0.23	3.21
22260	-10.44	86.18	188.49	285.11	356.39	0	21	19	53	36	32	17	77	77	0	0	77	77	59	14.53	3	0.87	16.17	0.49	0.41	0.23	3.21
22290	-30.7	89.54	188.49	308.73	385.91	0	22	19	53	40	31	21	82	82	0	0	82	82	61	15.2	3	0.87	16.17	0.49	0.41	0.23	3.21
22320	-45.75	93.34	194.93	334.02	417.53	0	23	20	58	42	35	22	85	85	0	0	85	85	63	15.94	3	0.87	16.17	0.49	0.41	0.23	3.21
22350	-57.61	97.88	202.68	358.17	447.72	0	24	21	59	46	35	25	89	88	0	0	89	88	64	16.68	3	0.87	16.17	0.49	0.41	0.23	3.21
22380	-39.6	97.88	246.01	383.49	479.37	0	24	25	61	49	37	24	93	92	0	0	93	92	66	17.42	3	0.98	16.17	0.63	0.41	0.23	3.64
22410	-6.76	112.16	286.46	405.37	506.71	0	27	29	63	54	36	25	97	97	0	0	97	97	66	17.92	3	0.98	16.17	0.63	0.41	0.23	3.64
22440	30.8	128.45	330.07	427.72	534.65	0	31	33	65	55	34	22	100	100	0	0	100	100	66	18.63	4	0.98	16.17	0.63	0.41	0.23	3.64
22470	80.68	137.14	396.31	452.78	565.97	0	32	38	69	60	37	22	106	106	0	0	106	106	69	19.39	4	0.98	16.17	0.63	0.41	0.23	3.64
22500	75.09	140.78	413.4	479.09	598.86	0	33	40	71	62	38	22	111	110	0	0	111	110	72	20.06	4	0.98	16.17	0.63	0.41	0.23	3.64
22530	95.51	154.64	444.72	503.84	629.81	0	36	43	77	68	41	25	115	115	0	0	115	115	74	20.79	4	0.98	16.17	0.63	0.41	0.23	3.64
22560	121.84	168.82	483.41	530.4	663	0	39	46	83	69	44	23	118	118	0	0	118	118	76	21.46	4	1.4	16.17	0.88	0.41	0.23	3.64
22590	143.12	175.82	523	555.7	694.62	0	41	49	89	72	48	23	120	119	0	0	120	119	76	22.16	4	1.4	16.17	0.88	0.41	0.23	3.64
22620	177.51	191.15	566.58	580.22	725.27	0	45	54	93	74	48	20	123	123	0	0	123	123	76	22.73	5	1.4	16.17	0.88	0.41	0.82	3.64
22650	219.84	224.65	604.11	604.39	755.49	4.54	51	58	98	81	47	23	127	127	0	0	127	127	79	23.4	5	1.4	16.17	0.88	0.41	0.82	3.64
22680	210.39	228.34	617.14	630.55	788.19	4.54	52	59	103	86	51	27	130	129	0	0	130	129	79	23.96	5	1.4	16.17	0.88	0.41	0.82	3.64
22710	237.47	232.64	670.92	658.84	823.55	7.25	53	63	105	90	52	27	131	131	0	0	131	131	80	24.59	5	1.62	16.17	0.88	0.41	1.26	3.64
22740	338.75	256.83	774.36	685.18	856.47	7.25	59	70	107	92	48	22	135	135	0	0	135	135	80	25.15	6	1.62	16.17	0.88	0.41	1.26	3.64
22770	372.17	280.17	813.62	713.28	891.6	8.34	62	72	110	97	48	25	141	140	0	0	141	140	81	25.79	6	1.62	16.17	0.88	0.41	1.26	3.64
22800	382.2	300	831.84	741.3	926.62	8.34	66	74	115	101	49	27	144	143	0	0	144	143	83	26.31	7	1.62	16.17	0.88	0.41	1.26	3.64
22830	390.98	338.15	831.84	770.67	963.33	8.34	72	74	116	102	44	28	146	146	0	0	146	146	83	26.89	7	1.62	16.17	0.88	0.41	1.26	3.64
22860	462.64	343.13	926.02	798.17	997.71	8.34	73	82	119	106	46	24	149	148	0	0	149	148	83	27.38	7	1.62	16.17	0.88	0.5	1.26	3.64
22890	513.97	380.86	966.34	824.88	1031.1	8.34	78	85	122	109	44	24	151	150	0	0	151	150	83	27.88	8	1.62	16.17	0.88	0.5	1.26	3.64
22920	532.1	387.29	1007.35	853.29	1066.61	9.26	79	88	124	111	45	23	153	152	0	0	153	152	83	28.37	8	1.62	16.17	0.88	0.5	1.26	3.64
22950	527.75	392.15	1027.31	882.45	1103.06	9.26	80	90	128	112	48	22	156	156	0	0	156	156	83	28.87	8	1.62	16.17	0.88	0.5	1.26	3.64
