Period TotalRequest TotalPopularRequest Occurences Percent
0 4104 243 30 12
1 4236 242 26 10
2 4615 238 33 13
3 5091 196 32 16
4 5195 192 26 13
5 5147 178 19 10
6 5299 195 29 14
7 5431 207 23 11
8 5478 168 21 12
9 5487 158 12 7
10 5785 124 10 8
11 5497 74 18 24
12 5363 76 12 15
13 5320 50 4 8
14 5235 44 5 11
15 5384 46 6 13
16 5356 47 4 8
17 5322 53 2 3
18 5247 56 2 3
19 5595 46 5 10
20 5368 54 9 16
21 5234 58 3 5
22 5232 54 6 11
23 6117 69 6 8
24 5387 73 11 15
25 4944 76 10 13
26 4612 81 9 11
27 1013 100 1 1
28 4314 101 7 6
29 3535 136 10 7
30 3420 143 9 6
31 3544 185 18 9
32 3503 156 12 7
33 3414 199 15 7
34 3752 205 20 9
35 3497 194 16 8
36 2652 190 17 8
37 1916 209 9 4
38 1550 177 14 7
39 1304 229 14 6
40 1093 189 8 4
41 856 182 4 2
42 790 208 10 4
43 775 198 6 3
44 781 219 9 4
45 771 184 1 0
46 715 192 4 2
47 746 222 3 1
48 765 184 5 2
49 888 180 1 0
50 1013 225 7 3
51 1091 214 6 2
52 1117 198 7 3
53 1344 210 6 2
54 1732 205 5 2
55 1935 206 20 9
56 2310 207 13 6
57 2653 183 19 10
58 3381 195 6 3
59 3204 218 19 8
60 3531 190 25 13
61 3668 173 11 6
62 4094 197 23 11
63 4072 188 20 10
64 3871 210 25 11
65 3675 203 15 7
66 3742 197 22 11
67 3312 182 12 6
68 3199 222 28 12
69 3505 226 25 11
70 3572 262 28 10
71 3454 254 34 13
72 3326 256 32 12
73 3296 292 31 10
74 3690 296 26 8
75 3326 350 44 12
76 3146 316 35 11
77 3140 328 32 9
78 3410 288 24 8
79 3569 293 27 9
80 1 304 0 0
81 0 310 0 0
82 0 337 0 0
83 0 290 0 0
84 0 306 0 0
85 0 293 0 0
86 0 292 0 0
87 0 275 0 0
88 0 356 0 0
89 0 306 0 0
90 0 307 0 0
91 0 290 0 0
92 0 289 0 0
93 0 289 0 0
94 0 273 0 0
95 0 256 0 0
